Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,General comments,Other notes,License URL
SE.PRM.PRS5.FE.ZS,CC BY-4.0,"Persistence to grade 5, female (% of cohort)",Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are based on World Bank estimates.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.PRS5.MA.ZS,CC BY-4.0,"Persistence to grade 5, male (% of cohort)",Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are based on World Bank estimates.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.PRS5.ZS,CC BY-4.0,"Persistence to grade 5, total (% of cohort)",Persistence to grade 5 (percentage of cohort reaching grade 5) is the share of children enrolled in the first grade of primary school who eventually reach grade 5. The estimate is based on the reconstructed cohort method.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. Aggregate data are based on World Bank estimates.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.PRSL.FE.ZS,CC BY-4.0,"Persistence to last grade of primary, female (% of cohort)",Persistence to last grade of primary is the percentage of children enrolled in the first grade of primary school who eventually reach the last grade of primary education. The estimate is based on the reconstructed cohort method.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.PRSL.MA.ZS,CC BY-4.0,"Persistence to last grade of primary, male (% of cohort)",Persistence to last grade of primary is the percentage of children enrolled in the first grade of primary school who eventually reach the last grade of primary education. The estimate is based on the reconstructed cohort method.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.PRSL.ZS,CC BY-4.0,"Persistence to last grade of primary, total (% of cohort)",Persistence to last grade of primary is the percentage of children enrolled in the first grade of primary school who eventually reach the last grade of primary education. The estimate is based on the reconstructed cohort method.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Cohort survival rate is calculated by dividing the total number of children belonging to a cohort who reached each successive grade of the specified level of education by the number of children in the same cohort; those originally enrolled in the first grade of primary education, and multiplying by 100. To reflect current patterns of grade transition, it is calculated based on the reconstructed cohort method, which uses data on enrollment by grade for the two most recent years and data on repeaters by grade for the most recent of those two years. 
Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",The cohort survival rate measures an education system's holding power and internal efficiency. Rates approaching 100 percent indicate high retention and low dropout levels.,"The estimates have limitations in capturing real trend in that an observed rate will be applied to the underlying indicators such as repetition rate and promotion rate throughout the cohort life, and re-entrants, grade skipping, migration or transfers during a school year are not adequately captured.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.REPT.FE.ZS,CC BY-4.0,"Repeaters, primary, female (% of female enrollment)","Repeaters in primary school are the number of students enrolled in the same grade as in the previous year, as a percentage of all students enrolled in primary school.",UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Share of repeaters in primary school is calculated by dividing the sum of repeaters in all grades of primary school by the total number of students enrolled in primary school, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Data on repeaters are often used to indicate an education system's internal efficiency. Repeaters not only increase the cost of education for the family and the school system, but also use limited school resources.",Country policies on repetition and promotion differ. In some cases the number of repeaters is controlled because of limited capacity. In other cases the number of repeaters is almost 0 because of automatic promotion – suggesting a system that is highly efficient but that may not be endowing students with enough cognitive skills.,,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.REPT.MA.ZS,CC BY-4.0,"Repeaters, primary, male (% of male enrollment)","Repeaters in primary school are the number of students enrolled in the same grade as in the previous year, as a percentage of all students enrolled in primary school.",UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Share of repeaters in primary school is calculated by dividing the sum of repeaters in all grades of primary school by the total number of students enrolled in primary school, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Data on repeaters are often used to indicate an education system's internal efficiency. Repeaters not only increase the cost of education for the family and the school system, but also use limited school resources.",Country policies on repetition and promotion differ. In some cases the number of repeaters is controlled because of limited capacity. In other cases the number of repeaters is almost 0 because of automatic promotion – suggesting a system that is highly efficient but that may not be endowing students with enough cognitive skills.,,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.REPT.ZS,CC BY-4.0,"Repeaters, primary, total (% of total enrollment)","Repeaters in primary school are the number of students enrolled in the same grade as in the previous year, as a percentage of all students enrolled in primary school.",UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Efficiency,Annual,Weighted average,"Share of repeaters in primary school is calculated by dividing the sum of repeaters in all grades of primary school by the total number of students enrolled in primary school, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Data on repeaters are often used to indicate an education system's internal efficiency. Repeaters not only increase the cost of education for the family and the school system, but also use limited school resources.",Country policies on repetition and promotion differ. In some cases the number of repeaters is controlled because of limited capacity. In other cases the number of repeaters is almost 0 because of automatic promotion – suggesting a system that is highly efficient but that may not be endowing students with enough cognitive skills.,,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.TCAQ.FE.ZS,CC BY-4.0,"Trained teachers in primary education, female (% of female teachers)",Trained teachers in primary education are the percentage of primary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Inputs,Annual,Weighted average,"Share of trained teachers is calculated by dividing the number of trained teachers of the specified level of education by total number of teachers at the same level of education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Trained teachers refer to teaching force with the necessary pedagogical skills to teach and use teaching materials in an effective manner. The share of trained teachers reveals a country's commitment to investing in the development of its human capital engaged in teaching.

Teachers are important resource, especially for children who are the first-generation of receiving education in their families and heavily rely on teachers in acquiring basic literacy skills. However, rapid increase in enrollments may cause the shortage of trained teachers. Education finance is a key for appropriate teacher allocations, since teacher salaries account for a large share of education budgets. The shortage of trained teacher may result in low qualified teachers in more disadvantaged area.","This indicator does not take into account differences in teachers' experiences and status, teaching methods, teaching materials, and classroom conditions - all factors that affect the quality of teaching and learning. Some teachers without formal training may have acquired equivalent pedagogical skills through professional experience. In addition, national standards regarding teacher qualifications and pedagogical skills may vary.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.TCAQ.MA.ZS,CC BY-4.0,"Trained teachers in primary education, male (% of male teachers)",Trained teachers in primary education are the percentage of primary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Inputs,Annual,Weighted average,"Share of trained teachers is calculated by dividing the number of trained teachers of the specified level of education by total number of teachers at the same level of education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Trained teachers refer to teaching force with the necessary pedagogical skills to teach and use teaching materials in an effective manner. The share of trained teachers reveals a country's commitment to investing in the development of its human capital engaged in teaching.

Teachers are important resource, especially for children who are the first-generation of receiving education in their families and heavily rely on teachers in acquiring basic literacy skills. However, rapid increase in enrollments may cause the shortage of trained teachers. Education finance is a key for appropriate teacher allocations, since teacher salaries account for a large share of education budgets. The shortage of trained teacher may result in low qualified teachers in more disadvantaged area.","This indicator does not take into account differences in teachers' experiences and status, teaching methods, teaching materials, and classroom conditions - all factors that affect the quality of teaching and learning. Some teachers without formal training may have acquired equivalent pedagogical skills through professional experience. In addition, national standards regarding teacher qualifications and pedagogical skills may vary.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.TCAQ.ZS,CC BY-4.0,Trained teachers in primary education (% of total teachers),Trained teachers in primary education are the percentage of primary school teachers who have received the minimum organized teacher training (pre-service or in-service) required for teaching in a given country.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Inputs,Annual,Weighted average,"Share of trained teachers is calculated by dividing the number of trained teachers of the specified level of education by total number of teachers at the same level of education, and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).","Trained teachers refer to teaching force with the necessary pedagogical skills to teach and use teaching materials in an effective manner. The share of trained teachers reveals a country's commitment to investing in the development of its human capital engaged in teaching.

Teachers are important resource, especially for children who are the first-generation of receiving education in their families and heavily rely on teachers in acquiring basic literacy skills. However, rapid increase in enrollments may cause the shortage of trained teachers. Education finance is a key for appropriate teacher allocations, since teacher salaries account for a large share of education budgets. The shortage of trained teacher may result in low qualified teachers in more disadvantaged area.","This indicator does not take into account differences in teachers' experiences and status, teaching methods, teaching materials, and classroom conditions - all factors that affect the quality of teaching and learning. Some teachers without formal training may have acquired equivalent pedagogical skills through professional experience. In addition, national standards regarding teacher qualifications and pedagogical skills may vary.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.PRM.TCHR,CC BY-4.0,"Primary education, teachers",Primary education teachers includes full-time and part-time teachers.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Inputs,Annual,Sum,"Teachers refer to persons employed full-time or part-time in an official capacity to guide and direct the learning experience of pupils and students, irrespective of their qualifications or the delivery mechanism, i.e. face-to-face and/or at a distance. This definition excludes educational personnel who have no active teaching duties (e.g. headmasters, headmistresses or principals who do not teach) or who work occasionally or in a voluntary capacity in educational institutions.

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",Women teachers are important as they serve as role models to girls and help to attract and retain girls in school.,,,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.ADT.1524.LT.FE.ZS,CC BY-4.0,"Literacy rate, youth female (% of females ages 15-24)",Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,Annual,Weighted average,"Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.","Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.","In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.ADT.1524.LT.FM.ZS,CC BY-4.0,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",Gender parity index for youth literacy rate is the ratio of females to males ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,Annual,Weighted average,"This indicator is calculated by dividing female youth literacy rate by male youth literacy rate. 

Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.","Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

The Gender Parity Index (GPI) indicates parity between girls and boys. A GPI of less than 1 suggests girls are more disadvantaged than boys in learning opportunities and a GPI of greater than 1 suggests the other way around. Eliminating gender disparities in education would help increase the status and capabilities of women. Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.","In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.ADT.1524.LT.MA.ZS,CC BY-4.0,"Literacy rate, youth male (% of males ages 15-24)",Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,Annual,Weighted average,"Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.","Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.","In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
SE.ADT.1524.LT.ZS,CC BY-4.0,"Literacy rate, youth total (% of people ages 15-24)",Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.,UNESCO Institute for Statistics (http://uis.unesco.org/),Education: Outcomes,Annual,Weighted average,"Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.","Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.","In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.",,"Data retrieved via API in March 2019. For detailed information on the observation level (e.g. National Estimation, UIS Estimation, or Category not applicable), please visit UIS.Stat (http://data.uis.unesco.org/).",https://datacatalog.worldbank.org/public-licenses#cc-by
