Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Labor force, total",SL.TLF.TOTL.IN,Argentina,ARG,19062763,19403124,19726497,20049817,20252061
"Labor force, total",SL.TLF.TOTL.IN,Uruguay,URY,1749808,1748776,1750438,1747917,1761684
"Labor force, total",SL.TLF.TOTL.IN,"Venezuela, RB",VEN,13727086,13757016,13498253,13181544,12988044
"Labor force, total",SL.TLF.TOTL.IN,Bolivia,BOL,5125444,4926137,5298192,5202337,5312765
"Labor force, total",SL.TLF.TOTL.IN,Colombia,COL,24825646,25400322,25765419,26176012,26730894
"Labor force, total",SL.TLF.TOTL.IN,Suriname,SUR,207202,209723,211508,213884,216546
"Labor force, total",SL.TLF.TOTL.IN,Guyana,GUY,305207,309907,313805,317602,321217
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Brazil,BRA,8.12100028991699,10.0649995803833,13.4680004119873,14.7239999771118,14.418999671936
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Peru,PER,3.07399988174438,2.96199989318848,3.57200002670288,3.50200009346008,3.43600010871887
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Panama,PAN,3.5239999294281,3.92899990081787,3.93700003623962,5.1100001335144,5.06300020217896
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Paraguay,PRY,6.82399988174438,4.94799995422363,6.74200010299683,5.44000005722046,5.76399993896484
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Chile,CHL,7.1269998550415,7.14200019836426,7.2649998664856,7.45900011062622,7.86100006103516
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Argentina,ARG,8.39400005340576,8.75300025939941,9.16300010681152,9.47500038146973,10.7880001068115
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Uruguay,URY,8.36100006103516,8.85700035095215,9.45300006866455,9.48299980163574,9.72000026702881
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,"Venezuela, RB",VEN,7.76599979400635,7.68599987030029,8.07600021362305,7.95900011062622,8.95899963378906
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Bolivia,BOL,2.84299993515015,3.79399991035461,4.05299997329712,3.83500003814697,3.98499989509583
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Colombia,COL,11.0469999313354,10.8579998016357,11.2189998626709,11.5260000228882,11.75
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Suriname,SUR,12.1619997024536,11.628999710083,11.6459999084473,11.9899997711182,12.1990003585815
"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,Guyana,GUY,16.0750007629395,16.2259998321533,15.9860000610352,15.7329998016357,15.7320003509521
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Brazil,BRA,5.59899997711182,7.21999979019165,10.2119998931885,11.371000289917,11.1059999465942
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Peru,PER,2.86899995803833,3.03200006484985,3.50300002098084,3.42499995231628,2.34699988365173
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Panama,PAN,2.22300004959106,2.40300011634827,2.91100001335144,3.10400009155273,3.17000007629395
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Paraguay,PRY,3.85400009155273,4.2979998588562,4.28299999237061,4.07299995422363,4.01700019836426
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Chile,CHL,6.3439998626709,6.06799983978271,6.36899995803833,6.60300016403198,6.76999998092651
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Argentina,ARG,6.49300003051758,6.86899995803833,7.20300006866455,7.53499984741211,8.54399967193604
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Uruguay,URY,5.06599998474121,6.36600017547607,6.50099992752075,6.56400012969971,6.49599981307983
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,"Venezuela, RB",VEN,6.40700006484985,6.24700021743774,7.06199979782104,7.07999992370605,7.98600006103516
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Bolivia,BOL,1.37600004673004,2.56200003623962,2.30399990081787,2.79800009727478,2.73200011253357
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Colombia,COL,6.72700023651123,6.37200021743774,6.78999996185303,6.87400007247925,7.08900022506714
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Suriname,SUR,3.625,4.44799995422363,4.60200023651123,4.89499998092651,4.79699993133545
"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,Guyana,GUY,10.3470001220703,10.5340003967285,10.3219995498657,10.1120004653931,10.1660003662109
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Brazil,BRA,6.67000007629395,8.4370002746582,11.6090002059937,12.8269996643066,12.543999671936
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Peru,PER,2.96199989318848,3,3.53500008583069,3.46000003814697,2.84400010108948
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Panama,PAN,2.72300004959106,3.00200009346008,3.31500005722046,3.90000009536743,3.92199993133545
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Paraguay,PRY,5.03399991989136,4.55600023269653,5.25500011444092,4.61499977111816,4.71199989318848
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Chile,CHL,6.66499996185303,6.50799989700317,6.73799991607666,6.95800018310547,7.22300004959106
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Argentina,ARG,7.26800012588501,7.64300012588501,8.01599979400635,8.34700012207031,9.48299980163574
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Uruguay,URY,6.54699993133545,7.48799991607666,7.84100008010864,7.8899998664856,7.96099996566772
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,"Venezuela, RB",VEN,6.94999980926514,6.82000017166138,7.46000003814697,7.42199993133545,8.36499977111816
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Bolivia,BOL,2.00699996948242,3.06599998474121,3.05599999427795,3.23300004005432,3.25799989700317
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Colombia,COL,8.57199954986572,8.29899978637695,8.69200038909912,8.87199974060059,9.0930004119873
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Suriname,SUR,6.94000005722046,7.21999979019165,7.28900003433228,7.59899997711182,7.63100004196167
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,Guyana,GUY,12.3669996261597,12.5520000457764,12.3380002975464,12.1149997711182,12.1510000228882
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Brazil,BRA,22.8674911148684,22.4208223092157,22.0495231024737,21.6838368026363,21.3340719108545
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Peru,PER,28.3839850498294,28.0816996400546,27.1000301622918,26.3624966281645,25.7906028460802
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Panama,PAN,28.1096317804719,27.8416434273314,27.6017456189848,27.3394729530685,27.0623043241241
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Paraguay,PRY,30.8604587662811,30.4348827119463,30.0252498129206,29.7043524151016,29.4405055961229
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Chile,CHL,20.8190074654714,20.5670398928665,20.2993805064597,20.024196501231,19.7539024707995
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Argentina,ARG,25.3681294857948,25.2111645305991,25.0794558115824,24.9267703815041,24.7609338351238
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Uruguay,URY,21.286211532874,21.0852316040198,20.9417635842575,20.7770319914125,20.6079810743386
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Venezuela, RB",VEN,28.769088327092,28.3803986785511,28.2171520091869,27.9706197612419,27.6666505810652
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Bolivia,BOL,32.8477225600071,32.4049539408983,31.983443520712,31.5346173965445,31.0735477456373
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Colombia,COL,25.0387904912347,24.5296683230477,24.0457654306216,23.5569125467782,23.077895979964
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Suriname,SUR,28.1902424300481,27.9053837748125,27.6810624406962,27.4331458940992,27.170263372628
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Guyana,GUY,29.8122822185543,29.3323708159159,28.9614036361374,28.5752984306431,28.214545202476
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Brazil,BRA,69.3906196906341,69.5661340906186,69.6487895917995,69.7106712029254,69.7430902567055
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Peru,PER,64.5561789409026,64.5926973731581,65.3422333650822,65.8267009172855,66.121004362089
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Panama,PAN,64.5144943472891,64.6010683668612,64.6703135287453,64.7506105164425,64.8329645962083
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Paraguay,PRY,63.4157513736593,63.6841195644146,63.9178934037114,64.0546370565225,64.1292793944163
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Chile,CHL,68.8894151960146,68.8365630081395,68.8222483435176,68.7839092508846,68.7162958723189
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Argentina,ARG,64.0154698523561,64.0600197569769,64.0605666116429,64.0835225051061,64.1212772887989
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Uruguay,URY,64.3303388153754,64.4317175013313,64.4669053064298,64.5227418284307,64.5774993948021
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,"Venezuela, RB",VEN,65.0512026641309,65.2547157288874,65.1392077150525,65.0856982015533,65.0663627988088
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Bolivia,BOL,60.5287508533354,60.8389076821595,61.1159325202546,61.4195037816536,61.7345048621782
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Colombia,COL,67.5305512111984,67.7756374926303,68.0179463013345,68.2439989221801,68.4440570001664
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Suriname,SUR,65.2853112297184,65.4855734579526,65.6112362096557,65.7618984182185,65.9233667251168
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,Guyana,GUY,64.6863947182268,64.9248402464323,65.0657014550772,65.2175763845711,65.335183554427
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Brazil,BRA,..,..,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Peru,PER,..,3,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Panama,PAN,..,..,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Paraguay,PRY,..,..,3.6,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Chile,CHL,..,..,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Argentina,ARG,..,..,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Uruguay,URY,..,..,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,"Venezuela, RB",VEN,..,..,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Bolivia,BOL,..,2.4,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Colombia,COL,..,4.9,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Suriname,SUR,..,..,..,..,..
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,Guyana,GUY,3.6,..,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Brazil,BRA,..,..,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Peru,PER,18.6,21.5,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Panama,PAN,..,..,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Paraguay,PRY,..,..,21.6,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Chile,CHL,..,..,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Argentina,ARG,..,..,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Uruguay,URY,..,..,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,"Venezuela, RB",VEN,..,..,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Bolivia,BOL,..,19.4,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Colombia,COL,..,23.4,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Suriname,SUR,..,..,..,..,..
Women who were first married by age 18 (% of women ages 20-24),SP.M18.2024.FE.ZS,Guyana,GUY,30.2,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Brazil,BRA,97.4362,96.85231,97.20202,97.55117,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Peru,PER,95.03941,96.4863,99.56785,98.88371,98.50107
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Panama,PAN,90.58017,87.74289,..,86.78174,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Paraguay,PRY,..,..,..,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Chile,CHL,93.45821,93.47354,94.04385,94.77589,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Argentina,ARG,99.7727,99.83682,99.4496,99.48052,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Uruguay,URY,96.9262,99.92276,99.91235,..,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,"Venezuela, RB",VEN,93.43597,93.25251,91.20013,89.68011,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Bolivia,BOL,87.94434,88.70123,89.84267,91.48686,..
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Colombia,COL,92.90561,96.38124,95.42469,97.34596,97.75807
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Suriname,SUR,87.6045,89.26191,90.47281,86.07316,86.02531
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,Guyana,GUY,..,..,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Brazil,BRA,97.61097,97.04205,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Peru,PER,95.54196,96.91169,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Panama,PAN,90.46746,87.56354,..,86.46573,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Paraguay,PRY,..,..,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Chile,CHL,93.47307,93.49292,94.09142,94.79262,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Argentina,ARG,..,..,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Uruguay,URY,96.89437,..,..,..,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,"Venezuela, RB",VEN,93.81625,93.42783,91.33262,89.73891,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Bolivia,BOL,87.58961,88.35634,89.64301,91.29061,..
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Colombia,COL,93.22195,96.60999,95.90338,97.75212,98.24626
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Suriname,SUR,90.29933,91.23083,92.55615,87.98488,87.72937
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,Guyana,GUY,..,..,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Brazil,BRA,97.2684,96.67031,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Peru,PER,94.55854,96.07844,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Panama,PAN,90.68822,87.91475,..,87.08438,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Paraguay,PRY,..,..,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Chile,CHL,93.44387,93.45485,93.99794,94.75975,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Argentina,ARG,..,..,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Uruguay,URY,96.95663,..,..,..,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,"Venezuela, RB",VEN,93.07291,93.08515,91.07356,89.62393,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Bolivia,BOL,88.28441,89.03184,90.03402,91.6749,..
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Colombia,COL,92.60284,96.16239,94.96663,96.95737,97.29117
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Suriname,SUR,85.09912,87.43125,88.53586,84.29531,84.43989
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,Guyana,GUY,..,..,..,..,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Brazil,BRA,..,..,3.70771,4.94119,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Peru,PER,..,..,3.39612,0.67566,1.76867
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Panama,PAN,11.28267,9.60885,..,12.17886,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Paraguay,PRY,..,..,..,..,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Chile,CHL,1.30483,2.19392,3.33193,5.04999,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Argentina,ARG,0.51128,0.38344,0.12941,0.00779,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Uruguay,URY,4.98443,0.47832,0.74884,..,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,"Venezuela, RB",VEN,7.0618,8.44659,9.71155,14.0777,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Bolivia,BOL,8.37771,10.76599,12.81904,14.52396,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Colombia,COL,5.9493,7.97015,8.37236,7.50454,5.91927
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Suriname,SUR,14.00793,14.99116,..,..,..
Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,Guyana,GUY,..,..,..,..,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Brazil,BRA,..,..,4.12476,5.26705,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Peru,PER,..,..,3.33291,..,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Panama,PAN,11.35021,9.3882,..,11.60816,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Paraguay,PRY,..,..,..,..,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Chile,CHL,1.62969,2.37304,3.48085,5.41982,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Argentina,ARG,..,..,0.12025,..,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Uruguay,URY,4.69992,..,0.16817,..,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,"Venezuela, RB",VEN,5.69112,7.49014,8.68067,13.20588,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Bolivia,BOL,8.63125,10.87932,12.94689,14.44733,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Colombia,COL,5.38692,7.3933,7.82625,7.01828,5.37315
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Suriname,SUR,10.6272,11.06859,..,..,..
"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,Guyana,GUY,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Brazil,BRA,..,..,3.30255,4.62572,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Peru,PER,..,..,3.45729,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Panama,PAN,11.21759,9.82124,..,12.72752,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Paraguay,PRY,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Chile,CHL,0.99126,2.02104,3.18813,4.69281,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Argentina,ARG,..,..,0.13827,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Uruguay,URY,5.25784,..,1.30543,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Venezuela, RB",VEN,8.37502,9.36231,10.69801,14.9115,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Bolivia,BOL,8.13433,10.65724,12.69638,14.59747,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Colombia,COL,6.48843,8.52267,8.89545,7.97018,6.44211
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Suriname,SUR,17.14774,18.63275,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Guyana,GUY,..,..,..,..,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Brazil,BRA,..,..,..,0.38774,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Peru,PER,..,..,0.31672,0.9883,1.41641
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Panama,PAN,8.68347,10.21042,..,13.21826,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Paraguay,PRY,..,..,..,..,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Chile,CHL,3.8999,3.70606,3.06315,2.26992,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Argentina,ARG,0.09804,0.0563,0.45239,0.43269,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Uruguay,URY,2.97208,0.01448,0.00014,..,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,"Venezuela, RB",VEN,5.6798,6.0444,8.14362,9.61041,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Bolivia,BOL,11.43547,11.03696,10.01542,8.43425,..
Children out of school (% of primary school age),SE.PRM.UNER.ZS,Colombia,COL,..,3.61876,4.57531,2.65404,2.24193
